,period,num_topics,perplexity,coherence_u
214,2017.0,3.0,-11.917135148520577,-7.212386334542159
215,2017.0,4.0,-12.42940298872345,-12.422356659685908
216,2017.0,5.0,-12.91886259485927,-13.362954246082003
217,2017.0,6.0,-13.366597666572797,-16.66487699407524
218,2017.0,7.0,-13.821905381278844,-17.842165711857106
219,2017.0,8.0,-14.228815062646753,-18.559018684251335
220,2017.0,9.0,-14.6646030629304,-18.92685832373293
221,2017.0,10.0,-15.069518106716137,-18.847579089909885
222,2017.0,11.0,-15.487295477367466,-19.44436368405114
223,2017.0,12.0,-15.81970880229978,-19.739354645993902
224,2017.0,13.0,-16.184342197120674,-19.312361810212824
225,2017.0,14.0,-16.63092321422312,-19.85390484073225
226,2018.0,3.0,-11.933407397225269,-6.62956839671379
227,2018.0,4.0,-12.454289956662766,-12.58537053958018
228,2018.0,5.0,-12.94481030000809,-15.88301510628268
229,2018.0,6.0,-13.417649023474294,-18.112849321363353
230,2018.0,7.0,-13.828818288366218,-17.832098232967336
231,2018.0,8.0,-14.272144946670117,-19.38923923555639
232,2018.0,9.0,-14.693562420804609,-19.391551725475
233,2018.0,10.0,-15.101243662867178,-19.456913597060954
234,2018.0,11.0,-15.488494114057854,-19.32250080502866
235,2018.0,12.0,-15.907287838938215,-19.907012855538806
236,2018.0,13.0,-16.29088725258268,-19.92221682514539
237,2018.0,14.0,-16.648112193431796,-19.555217737043797
238,2019.0,3.0,-11.997612283046347,-11.878463346349022
239,2019.0,4.0,-12.527096250104114,-15.771402232552637
240,2019.0,5.0,-13.004619081968936,-16.25781482976338
241,2019.0,6.0,-13.501949663061227,-17.62844982916883
242,2019.0,7.0,-13.957499956439278,-17.612168866897154
243,2019.0,8.0,-14.394296017525312,-19.66995684275038
244,2019.0,9.0,-14.833815364337486,-18.91559616588076
245,2019.0,10.0,-15.22900071325679,-19.854665250949644
246,2019.0,11.0,-15.647138385691619,-19.384261660487837
247,2019.0,12.0,-16.042500071933684,-19.17007831896154
